instance p cost time
uf250-023.cnf 0.4 0 0.155506
uf250-023.cnf 0.5 0 0.00313695
uf250-023.cnf 0.6 0 0.0225104
uf250-023.cnf 0.7 0 0.131517
uf250-023.cnf 0.8 7 20.0003
uf250-023.cnf 0.9 19 20.0002
uf250-024.cnf 0.1 0 8.26149
uf250-024.cnf 0.2 0 1.43049
uf250-024.cnf 0.3 0 0.472533
uf250-024.cnf 0.4 0 0.561162
uf250-024.cnf 0.5 0 0.0127197
uf250-024.cnf 0.6 0 0.228094
uf250-024.cnf 0.7 0 0.503288
uf250-024.cnf 0.8 14 20.0002
uf250-024.cnf 0.9 18 20.0003
uf250-025.cnf 0.1 0 0.446629
uf250-025.cnf 0.2 0 0.091009
uf250-025.cnf 0.3 0 0.114385
uf250-025.cnf 0.4 0 0.0507597
uf250-025.cnf 0.5 0 0.00982151
uf250-025.cnf 0.6 0 0.00278592
uf250-025.cnf 0.7 0 0.00917852
uf250-025.cnf 0.8 0 1.11342
uf250-025.cnf 0.9 13 20.0003
uf250-026.cnf 0.1 0 8.10051
uf250-026.cnf 0.2 0 7.81911
uf250-026.cnf 0.3 0 0.365581
uf250-026.cnf 0.4 0 0.617669
uf250-026.cnf 0.5 0 0.225677
uf250-026.cnf 0.6 0 0.0450087
uf250-026.cnf 0.7 0 0.559216
uf250-026.cnf 0.8 8 20.0003
uf250-026.cnf 0.9 14 20.0002
uf250-027.cnf 0.1 0 0.890971
uf250-027.cnf 0.2 0 0.875092
uf250-027.cnf 0.3 0 3.27583
uf250-027.cnf 0.4 0 0.193918
uf250-027.cnf 0.5 0 0.0652754
uf250-027.cnf 0.6 0 0.0743458
uf250-027.cnf 0.7 0 0.20105
uf250-027.cnf 0.8 0 0.0946447
uf250-027.cnf 0.9 16 20.0002
uf250-028.cnf 0.1 0 1.33265
uf250-028.cnf 0.2 0 0.979275
uf250-028.cnf 0.3 0 0.236405
uf250-028.cnf 0.4 0 0.0139945
uf250-028.cnf 0.5 0 0.00582729
uf250-028.cnf 0.6 0 0.0605286
uf250-028.cnf 0.7 0 0.0146591
uf250-028.cnf 0.8 0 0.757441
uf250-028.cnf 0.9 16 20.0002
uf250-029.cnf 0.1 0 13.752
uf250-029.cnf 0.2 0 0.948981
uf250-029.cnf 0.3 0 0.0195686
uf250-029.cnf 0.4 0 0.389846
uf250-029.cnf 0.5 0 0.572765
uf250-029.cnf 0.6 0 0.022744
uf250-029.cnf 0.7 0 6.96147
uf250-029.cnf 0.8 7 20.0003
uf250-029.cnf 0.9 19 20.0003
uf250-03.cnf 0.1 0 1.12081
uf250-03.cnf 0.2 0 0.0548664
uf250-03.cnf 0.3 0 0.0421756
uf250-03.cnf 0.4 0 0.05358
uf250-03.cnf 0.5 0 0.0120444
uf250-03.cnf 0.6 0 0.00351564
uf250-03.cnf 0.7 0 0.0862542
uf250-03.cnf 0.8 13 20.0003
uf250-03.cnf 0.9 19 20.0003
uf250-030.cnf 0.1 0 0.0963458
uf250-030.cnf 0.2 0 0.142217
uf250-030.cnf 0.3 0 0.0119973
uf250-030.cnf 0.4 0 0.164388
uf250-030.cnf 0.5 0 0.00369718
uf250-030.cnf 0.6 0 0.0508031
uf250-030.cnf 0.7 0 0.022551
uf250-030.cnf 0.8 0 0.824848
uf250-030.cnf 0.9 19 20.0003
uf250-031.cnf 0.1 0 0.622251
uf250-031.cnf 0.2 0 3.19305
uf250-031.cnf 0.3 0 3.56652
uf250-031.cnf 0.4 0 0.0246045
uf250-031.cnf 0.5 0 0.480301
uf250-031.cnf 0.6 0 0.264844
uf250-031.cnf 0.7 0 0.871963
uf250-031.cnf 0.8 5 20.0002
uf250-031.cnf 0.9 15 20.0003
uf250-032.cnf 0.1 0 0.0309905
uf250-032.cnf 0.2 0 0.0028594
uf250-032.cnf 0.3 0 0.0289933
uf250-032.cnf 0.4 0 0.0543391
uf250-032.cnf 0.5 0 0.0240784
uf250-032.cnf 0.6 0 0.00830173
uf250-032.cnf 0.7 0 0.0489172
uf250-032.cnf 0.8 0 4.11219
uf250-032.cnf 0.9 21 20.0003
uf250-033.cnf 0.1 0 0.0542768
uf250-033.cnf 0.2 0 0.204822
uf250-033.cnf 0.3 0 0.0143085
uf250-033.cnf 0.4 0 0.00438519
uf250-033.cnf 0.5 0 0.00407429
uf250-033.cnf 0.6 0 0.00288956
uf250-033.cnf 0.7 0 0.0204935
uf250-033.cnf 0.8 0 0.183219
uf250-033.cnf 0.9 12 20.0002
uf250-034.cnf 0.1 0 12.9766
uf250-034.cnf 0.2 0 0.0770244
uf250-034.cnf 0.3 0 0.70714
uf250-034.cnf 0.4 0 0.479342
uf250-034.cnf 0.5 0 0.00704807
uf250-034.cnf 0.6 0 0.019517
uf250-034.cnf 0.7 0 16.341
uf250-034.cnf 0.8 11 20.0002
uf250-034.cnf 0.9 20 20.0002
uf250-035.cnf 0.1 0 0.0257706
uf250-035.cnf 0.2 0 0.0413033
uf250-035.cnf 0.3 0 0.00869553
uf250-035.cnf 0.4 0 0.00350386
uf250-035.cnf 0.5 0 0.00284313
uf250-035.cnf 0.6 0 0.00330094
uf250-035.cnf 0.7 0 0.00799454
uf250-035.cnf 0.8 0 0.138522
uf250-035.cnf 0.9 10 20.0003
uf250-036.cnf 0.1 0 0.465065
uf250-036.cnf 0.2 0 0.139459
uf250-036.cnf 0.3 0 0.262652
uf250-036.cnf 0.4 0 0.0252549
uf250-036.cnf 0.5 0 0.00926256
uf250-036.cnf 0.6 0 0.00464271
