instance p cost time
uuf250-022.cnf 0.7 1 0.458158
uuf250-022.cnf 0.8 14 20.0002
uuf250-022.cnf 0.9 21 20.0003
uuf250-023.cnf 0.1 1 0.34721
uuf250-023.cnf 0.2 1 0.0689785
uuf250-023.cnf 0.3 1 0.111725
uuf250-023.cnf 0.4 1 0.0267832
uuf250-023.cnf 0.5 1 0.0161698
uuf250-023.cnf 0.6 1 0.0466999
uuf250-023.cnf 0.7 1 1.49579
uuf250-023.cnf 0.8 15 20.0003
uuf250-023.cnf 0.9 23 20.0003
uuf250-024.cnf 0.1 1 0.461248
uuf250-024.cnf 0.2 1 0.0583663
uuf250-024.cnf 0.3 1 0.00791993
uuf250-024.cnf 0.4 1 0.0229936
uuf250-024.cnf 0.5 1 0.00276803
uuf250-024.cnf 0.6 1 0.00401
uuf250-024.cnf 0.7 1 0.0631931
uuf250-024.cnf 0.8 1 0.872517
uuf250-024.cnf 0.9 24 20.0002
uuf250-025.cnf 0.1 1 0.932255
uuf250-025.cnf 0.2 1 0.032308
uuf250-025.cnf 0.3 1 0.00597885
uuf250-025.cnf 0.4 1 0.00321906
uuf250-025.cnf 0.5 1 0.0087478
uuf250-025.cnf 0.6 1 0.00794152
uuf250-025.cnf 0.7 1 0.00268833
uuf250-025.cnf 0.8 1 4.22775
uuf250-025.cnf 0.9 20 20.0002
uuf250-026.cnf 0.1 1 0.834517
uuf250-026.cnf 0.2 1 1.00812
uuf250-026.cnf 0.3 1 0.0044757
uuf250-026.cnf 0.4 1 0.154216
uuf250-026.cnf 0.5 1 0.00865575
uuf250-026.cnf 0.6 1 0.0655436
uuf250-026.cnf 0.7 1 0.310433
uuf250-026.cnf 0.8 12 20.0002
uuf250-026.cnf 0.9 24 20.0002
uuf250-027.cnf 0.1 2 20.0002
uuf250-027.cnf 0.2 1 6.47755
uuf250-027.cnf 0.3 1 3.34073
uuf250-027.cnf 0.4 2 20.0002
uuf250-027.cnf 0.5 1 10.6414
uuf250-027.cnf 0.6 1 6.19716
uuf250-027.cnf 0.7 8 20.0003
uuf250-027.cnf 0.8 15 20.0002
uuf250-027.cnf 0.9 24 20.0002
uuf250-028.cnf 0.1 1 0.110637
uuf250-028.cnf 0.2 1 0.0334355
uuf250-028.cnf 0.3 1 0.00842912
uuf250-028.cnf 0.4 1 0.00862377
uuf250-028.cnf 0.5 1 0.0122049
uuf250-028.cnf 0.6 1 0.00405902
uuf250-028.cnf 0.7 1 0.00663711
uuf250-028.cnf 0.8 10 20.0002
uuf250-028.cnf 0.9 24 20.0002
uuf250-029.cnf 0.1 1 0.27502
uuf250-029.cnf 0.2 1 0.0141014
uuf250-029.cnf 0.3 1 0.134949
uuf250-029.cnf 0.4 1 0.00549934
uuf250-029.cnf 0.5 1 0.00438512
uuf250-029.cnf 0.6 1 0.00919053
uuf250-029.cnf 0.7 1 0.016021
uuf250-029.cnf 0.8 12 20.0002
uuf250-029.cnf 0.9 18 20.0003
uuf250-03.cnf 0.1 1 0.118099
uuf250-03.cnf 0.2 1 0.0179145
uuf250-03.cnf 0.3 1 0.00869498
uuf250-03.cnf 0.4 1 0.0102666
uuf250-03.cnf 0.5 1 0.00315639
uuf250-03.cnf 0.6 1 0.00541084
uuf250-03.cnf 0.7 1 0.00726399
uuf250-03.cnf 0.8 1 5.6105
uuf250-03.cnf 0.9 17 20.0002
uuf250-030.cnf 0.1 2 20.0003
uuf250-030.cnf 0.2 2 20.0002
uuf250-030.cnf 0.3 2 20.0002
uuf250-030.cnf 0.4 2 20.0002
uuf250-030.cnf 0.5 2 20.0002
uuf250-030.cnf 0.6 3 20.0002
uuf250-030.cnf 0.7 6 20.0002
uuf250-030.cnf 0.8 17 20.0002
uuf250-030.cnf 0.9 27 20.0002
uuf250-031.cnf 0.1 1 0.556902
uuf250-031.cnf 0.2 1 0.0180641
uuf250-031.cnf 0.3 1 0.0247295
uuf250-031.cnf 0.4 1 0.262508
uuf250-031.cnf 0.5 1 0.0058643
uuf250-031.cnf 0.6 1 0.0172832
uuf250-031.cnf 0.7 1 0.0100554
uuf250-031.cnf 0.8 1 14.4054
uuf250-031.cnf 0.9 21 20.0002
uuf250-032.cnf 0.1 1 3.5262
uuf250-032.cnf 0.2 1 1.46041
uuf250-032.cnf 0.3 1 4.51495
uuf250-032.cnf 0.4 1 0.439347
uuf250-032.cnf 0.5 1 0.354403
uuf250-032.cnf 0.6 1 0.219512
uuf250-032.cnf 0.7 1 0.127903
uuf250-032.cnf 0.8 14 20.0002
uuf250-032.cnf 0.9 21 20.0002
uuf250-033.cnf 0.1 1 0.00249946
uuf250-033.cnf 0.2 1 0.00695445
uuf250-033.cnf 0.3 1 0.007873
uuf250-033.cnf 0.4 1 0.00557673
uuf250-033.cnf 0.5 1 0.00700061
uuf250-033.cnf 0.6 1 0.0034797
uuf250-033.cnf 0.7 1 0.0108359
uuf250-033.cnf 0.8 1 3.65448
uuf250-033.cnf 0.9 19 20.0002
uuf250-034.cnf 0.1 1 8.90167
uuf250-034.cnf 0.2 1 0.910655
uuf250-034.cnf 0.3 1 0.16964
uuf250-034.cnf 0.4 1 0.0367107
uuf250-034.cnf 0.5 1 0.112295
uuf250-034.cnf 0.6 1 0.553791
uuf250-034.cnf 0.7 1 1.35234
uuf250-034.cnf 0.8 12 20.0002
uuf250-034.cnf 0.9 26 20.0003
uuf250-035.cnf 0.1 2 20.0002
uuf250-035.cnf 0.2 2 20.0002
uuf250-035.cnf 0.3 2 20.0002
uuf250-035.cnf 0.4 2 20.0002
uuf250-035.cnf 0.5 2 20.0003
uuf250-035.cnf 0.6 2 20.0002
uuf250-035.cnf 0.7 8 20.0002
uuf250-035.cnf 0.8 18 20.0002
uuf250-035.cnf 0.9 24 20.0003
uuf250-036.cnf 0.1 2 20.0002
uuf250-036.cnf 0.2 2 20.0002
uuf250-036.cnf 0.3 2 20.0003
uuf250-036.cnf 0.4 2 20.0002
uuf250-036.cnf 0.5 2 20.0002
uuf250-036.cnf 0.6 3 20.0002
uuf250-036.cnf 0.7 11 20.0005
uuf250-036.cnf 0.8 18 20.0003
uuf250-036.cnf 0.9 29 20.0003
uuf250-037.cnf 0.1 3 20.0002
uuf250-037.cnf 0.2 2 20.0003
uuf250-037.cnf 0.3 2 20.0002
uuf250-037.cnf 0.4 2 20.0003
uuf250-037.cnf 0.5 3 20.0003
uuf250-037.cnf 0.6 4 20.0002
uuf250-037.cnf 0.7 11 20.0002
uuf250-037.cnf 0.8 15 20.0002
uuf250-037.cnf 0.9 25 20.0002
uuf250-038.cnf 0.1 1 0.815336
uuf250-038.cnf 0.2 1 0.0213301
uuf250-038.cnf 0.3 1 0.155218
uuf250-038.cnf 0.4 1 0.0146779
uuf250-038.cnf 0.5 1 0.0193649
uuf250-038.cnf 0.6 1 0.00657495
uuf250-038.cnf 0.7 1 0.334484
uuf250-038.cnf 0.8 14 20.0034
uuf250-038.cnf 0.9 19 20.0002
uuf250-039.cnf 0.1 2 20.0002
uuf250-039.cnf 0.2 1 14.6931
uuf250-039.cnf 0.3 1 0.0300321
uuf250-039.cnf 0.4 1 2.35253
uuf250-039.cnf 0.5 1 1.12722
uuf250-039.cnf 0.6 1 4.10398
uuf250-039.cnf 0.7 1 3.54322
uuf250-039.cnf 0.8 15 20.0002
uuf250-039.cnf 0.9 18 20.0002
uuf250-04.cnf 0.1 2 20.0002
uuf250-04.cnf 0.2 2 20.0002
uuf250-04.cnf 0.3 2 20.0002
uuf250-04.cnf 0.4 2 20.0002
uuf250-04.cnf 0.5 2 20.0002
uuf250-04.cnf 0.6 5 20.0002
uuf250-04.cnf 0.7 9 20.0002
uuf250-04.cnf 0.8 20 20.0003
uuf250-04.cnf 0.9 28 20.0003
uuf250-040.cnf 0.1 1 1.00808
uuf250-040.cnf 0.2 1 0.0248656
uuf250-040.cnf 0.3 1 0.264862
uuf250-040.cnf 0.4 1 0.0235399
uuf250-040.cnf 0.5 1 0.0143699
uuf250-040.cnf 0.6 1 0.00627991
uuf250-040.cnf 0.7 1 0.0396142
uuf250-040.cnf 0.8 17 20.0002
uuf250-040.cnf 0.9 29 20.0003
